danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.825,0.497,1,-11.278,1,0.376,0.0286,0.0,0.111,0.536,171.95,audio_features,24zmKlJp1LlIRpagSbMaRY,spotify:track:24zmKlJp1LlIRpagSbMaRY,https://api.spotify.com/v1/tracks/24zmKlJp1LlIRpagSbMaRY,https://api.spotify.com/v1/audio-analysis/24zmKlJp1LlIRpagSbMaRY,156313,4
0.868,0.538,5,-8.603,1,0.174,0.269,3.34e-06,0.0901,0.732,99.968,audio_features,2IGMVunIBsBLtEQyoI1Mu7,spotify:track:2IGMVunIBsBLtEQyoI1Mu7,https://api.spotify.com/v1/tracks/2IGMVunIBsBLtEQyoI1Mu7,https://api.spotify.com/v1/audio-analysis/2IGMVunIBsBLtEQyoI1Mu7,231750,4
0.458,0.535,5,-4.854,0,0.0281,0.575,0.0,0.168,0.216,82.826,audio_features,1i9lZvlaDdWDPyXEE95aiq,spotify:track:1i9lZvlaDdWDPyXEE95aiq,https://api.spotify.com/v1/tracks/1i9lZvlaDdWDPyXEE95aiq,https://api.spotify.com/v1/audio-analysis/1i9lZvlaDdWDPyXEE95aiq,353755,4
0.67,0.555,1,-9.12,0,0.0908,0.0382,6.36e-06,0.414,0.16,156.937,audio_features,4M68xjcc42oxyphhzpOWXS,spotify:track:4M68xjcc42oxyphhzpOWXS,https://api.spotify.com/v1/tracks/4M68xjcc42oxyphhzpOWXS,https://api.spotify.com/v1/audio-analysis/4M68xjcc42oxyphhzpOWXS,146808,4
0.831,0.793,1,-4.127,1,0.369,0.0195,0.0,0.259,0.833,144.967,audio_features,3ScMs95OaNlkrZuRe7gyYa,spotify:track:3ScMs95OaNlkrZuRe7gyYa,https://api.spotify.com/v1/tracks/3ScMs95OaNlkrZuRe7gyYa,https://api.spotify.com/v1/audio-analysis/3ScMs95OaNlkrZuRe7gyYa,149449,4
0.862,0.621,2,-7.423,1,0.283,0.379,0.0,0.415,0.239,124.081,audio_features,6ulEymrJ2Azx1uo3YHSE5w,spotify:track:6ulEymrJ2Azx1uo3YHSE5w,https://api.spotify.com/v1/tracks/6ulEymrJ2Azx1uo3YHSE5w,https://api.spotify.com/v1/audio-analysis/6ulEymrJ2Azx1uo3YHSE5w,170268,4
0.886,0.558,1,-7.806,1,0.346,0.00789,0.0,0.133,0.614,75.499,audio_features,6N7TGPYfGP2oxiy9Cpaz9G,spotify:track:6N7TGPYfGP2oxiy9Cpaz9G,https://api.spotify.com/v1/tracks/6N7TGPYfGP2oxiy9Cpaz9G,https://api.spotify.com/v1/audio-analysis/6N7TGPYfGP2oxiy9Cpaz9G,185453,4
0.847,0.622,1,-6.747,0,0.0903,0.119,0.0,0.285,0.22,130.001,audio_features,4rXLjWdF2ZZpXCVTfWcshS,spotify:track:4rXLjWdF2ZZpXCVTfWcshS,https://api.spotify.com/v1/tracks/4rXLjWdF2ZZpXCVTfWcshS,https://api.spotify.com/v1/audio-analysis/4rXLjWdF2ZZpXCVTfWcshS,125040,4
0.544,0.496,0,-12.032,1,0.21,0.13,0.0,0.166,0.314,103.148,audio_features,3kfhS2L56Wj8fBcu7xE47H,spotify:track:3kfhS2L56Wj8fBcu7xE47H,https://api.spotify.com/v1/tracks/3kfhS2L56Wj8fBcu7xE47H,https://api.spotify.com/v1/audio-analysis/3kfhS2L56Wj8fBcu7xE47H,203442,5
0.94,0.652,5,-5.806,1,0.303,0.00226,0.0,0.0898,0.712,95.976,audio_features,53QRPT9Z42ALxGL1YGT9x1,spotify:track:53QRPT9Z42ALxGL1YGT9x1,https://api.spotify.com/v1/tracks/53QRPT9Z42ALxGL1YGT9x1,https://api.spotify.com/v1/audio-analysis/53QRPT9Z42ALxGL1YGT9x1,165765,4
0.677,0.658,2,-6.223,1,0.293,0.0538,0.0,0.167,0.164,189.976,audio_features,6Qc90FMwNUjJ2M893RdYUg,spotify:track:6Qc90FMwNUjJ2M893RdYUg,https://api.spotify.com/v1/tracks/6Qc90FMwNUjJ2M893RdYUg,https://api.spotify.com/v1/audio-analysis/6Qc90FMwNUjJ2M893RdYUg,168427,4
0.816,0.649,0,-5.12,0,0.242,0.709,0.0,0.52,0.686,138.056,audio_features,3Kh8X9lHztqVBTgw30HbXn,spotify:track:3Kh8X9lHztqVBTgw30HbXn,https://api.spotify.com/v1/tracks/3Kh8X9lHztqVBTgw30HbXn,https://api.spotify.com/v1/audio-analysis/3Kh8X9lHztqVBTgw30HbXn,168933,4
