danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.551,0.115,8,-16.62,1,0.0378,0.92,0.905,0.139,0.0796,105.596,audio_features,1Qiyu2GJvxBWkFF9z0Rhx5,spotify:track:1Qiyu2GJvxBWkFF9z0Rhx5,https://api.spotify.com/v1/tracks/1Qiyu2GJvxBWkFF9z0Rhx5,https://api.spotify.com/v1/audio-analysis/1Qiyu2GJvxBWkFF9z0Rhx5,157419,4
0.498,0.11,7,-22.829,1,0.0338,0.932,0.898,0.0987,0.127,109.044,audio_features,0RrvMxwdAX6qBQHjR3EEPZ,spotify:track:0RrvMxwdAX6qBQHjR3EEPZ,https://api.spotify.com/v1/tracks/0RrvMxwdAX6qBQHjR3EEPZ,https://api.spotify.com/v1/audio-analysis/0RrvMxwdAX6qBQHjR3EEPZ,214873,4
0.482,0.174,0,-13.495,1,0.0352,0.966,0.824,0.107,0.162,109.162,audio_features,2ExRtsNPSx1XupyPBq7Wtr,spotify:track:2ExRtsNPSx1XupyPBq7Wtr,https://api.spotify.com/v1/tracks/2ExRtsNPSx1XupyPBq7Wtr,https://api.spotify.com/v1/audio-analysis/2ExRtsNPSx1XupyPBq7Wtr,228625,4
0.339,0.171,0,-17.597,1,0.0411,0.977,0.869,0.125,0.113,178.033,audio_features,5CBaikcT4Gx8iO8jQvmyDU,spotify:track:5CBaikcT4Gx8iO8jQvmyDU,https://api.spotify.com/v1/tracks/5CBaikcT4Gx8iO8jQvmyDU,https://api.spotify.com/v1/audio-analysis/5CBaikcT4Gx8iO8jQvmyDU,205830,3
0.472,0.225,3,-18.413,0,0.0351,0.956,0.875,0.102,0.13,111.693,audio_features,04ICJKheRrWvKTXcQQN8FM,spotify:track:04ICJKheRrWvKTXcQQN8FM,https://api.spotify.com/v1/tracks/04ICJKheRrWvKTXcQQN8FM,https://api.spotify.com/v1/audio-analysis/04ICJKheRrWvKTXcQQN8FM,281067,4
0.378,0.115,8,-15.165,1,0.0378,0.965,0.023,0.385,0.152,53.43,audio_features,1Iup2scUgNLhmq4q7rLG6l,spotify:track:1Iup2scUgNLhmq4q7rLG6l,https://api.spotify.com/v1/tracks/1Iup2scUgNLhmq4q7rLG6l,https://api.spotify.com/v1/audio-analysis/1Iup2scUgNLhmq4q7rLG6l,218975,4
0.455,0.137,5,-14.999,1,0.0388,0.96,0.0808,0.104,0.195,53.648,audio_features,5fxlpxZnDeUP8Gc98bwVs1,spotify:track:5fxlpxZnDeUP8Gc98bwVs1,https://api.spotify.com/v1/tracks/5fxlpxZnDeUP8Gc98bwVs1,https://api.spotify.com/v1/audio-analysis/5fxlpxZnDeUP8Gc98bwVs1,218470,4
0.515,0.193,5,-17.945,1,0.0331,0.876,0.928,0.112,0.148,108.129,audio_features,1Kvxzf1WFEdBkLuvGVwpjM,spotify:track:1Kvxzf1WFEdBkLuvGVwpjM,https://api.spotify.com/v1/tracks/1Kvxzf1WFEdBkLuvGVwpjM,https://api.spotify.com/v1/audio-analysis/1Kvxzf1WFEdBkLuvGVwpjM,257917,4
0.49,0.103,3,-17.026,1,0.0366,0.936,0.915,0.105,0.116,91.6,audio_features,4J7o5z21AHxX83IxXOGdWe,spotify:track:4J7o5z21AHxX83IxXOGdWe,https://api.spotify.com/v1/tracks/4J7o5z21AHxX83IxXOGdWe,https://api.spotify.com/v1/audio-analysis/4J7o5z21AHxX83IxXOGdWe,243175,4
0.514,0.178,2,-17.286,0,0.0284,0.931,0.859,0.354,0.104,96.372,audio_features,3VRTgB7okjGGrRg4pTFC8r,spotify:track:3VRTgB7okjGGrRg4pTFC8r,https://api.spotify.com/v1/tracks/3VRTgB7okjGGrRg4pTFC8r,https://api.spotify.com/v1/audio-analysis/3VRTgB7okjGGrRg4pTFC8r,162708,4
