danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.879,0.646,1,-8.352,1,0.606,0.329,0.0,0.0727,0.629,147.052,audio_features,3NQ83jeRQfnXqickeWRFLi,spotify:track:3NQ83jeRQfnXqickeWRFLi,https://api.spotify.com/v1/tracks/3NQ83jeRQfnXqickeWRFLi,https://api.spotify.com/v1/audio-analysis/3NQ83jeRQfnXqickeWRFLi,143673,4
0.816,0.623,2,-9.811,1,0.457,0.247,0.0,0.688,0.708,145.138,audio_features,7tTcleU0z0VpBaGWlBdIko,spotify:track:7tTcleU0z0VpBaGWlBdIko,https://api.spotify.com/v1/tracks/7tTcleU0z0VpBaGWlBdIko,https://api.spotify.com/v1/audio-analysis/7tTcleU0z0VpBaGWlBdIko,185652,4
0.757,0.559,10,-11.455,0,0.354,0.688,0.0036,0.126,0.6,142.76,audio_features,7vv24x9Gc1g6LbMCCOD6v2,spotify:track:7vv24x9Gc1g6LbMCCOD6v2,https://api.spotify.com/v1/tracks/7vv24x9Gc1g6LbMCCOD6v2,https://api.spotify.com/v1/audio-analysis/7vv24x9Gc1g6LbMCCOD6v2,171933,4
0.778,0.59,11,-12.055,0,0.362,0.547,0.0,0.384,0.961,142.004,audio_features,3QoEOJppmERW3SqQ2GRbBE,spotify:track:3QoEOJppmERW3SqQ2GRbBE,https://api.spotify.com/v1/tracks/3QoEOJppmERW3SqQ2GRbBE,https://api.spotify.com/v1/audio-analysis/3QoEOJppmERW3SqQ2GRbBE,198577,4
0.879,0.719,1,-8.279,1,0.669,0.559,0.0,0.13,0.739,143.912,audio_features,6ZEX7RYnxXzWkGbaB6UruS,spotify:track:6ZEX7RYnxXzWkGbaB6UruS,https://api.spotify.com/v1/tracks/6ZEX7RYnxXzWkGbaB6UruS,https://api.spotify.com/v1/audio-analysis/6ZEX7RYnxXzWkGbaB6UruS,146667,4
0.804,0.91,2,-3.038,1,0.467,0.345,1.23e-05,0.107,0.552,147.008,audio_features,1IKOaciPNSGmX9P2rx8iWx,spotify:track:1IKOaciPNSGmX9P2rx8iWx,https://api.spotify.com/v1/tracks/1IKOaciPNSGmX9P2rx8iWx,https://api.spotify.com/v1/audio-analysis/1IKOaciPNSGmX9P2rx8iWx,131496,4
0.838,0.733,8,-6.192,1,0.435,0.747,0.0,0.0929,0.806,143.104,audio_features,1JTnvQEXkqf0ZovtKPDh9j,spotify:track:1JTnvQEXkqf0ZovtKPDh9j,https://api.spotify.com/v1/tracks/1JTnvQEXkqf0ZovtKPDh9j,https://api.spotify.com/v1/audio-analysis/1JTnvQEXkqf0ZovtKPDh9j,148000,4
0.807,0.619,0,-7.255,1,0.194,0.203,0.0,0.108,0.704,146.033,audio_features,0KTVVIO1SLbQ2m7ZJDe7IU,spotify:track:0KTVVIO1SLbQ2m7ZJDe7IU,https://api.spotify.com/v1/tracks/0KTVVIO1SLbQ2m7ZJDe7IU,https://api.spotify.com/v1/audio-analysis/0KTVVIO1SLbQ2m7ZJDe7IU,263064,4
0.893,0.449,2,-11.268,1,0.612,0.233,0.0,0.0553,0.681,142.037,audio_features,6q6B3S0NzajdyzSj3XLXxb,spotify:track:6q6B3S0NzajdyzSj3XLXxb,https://api.spotify.com/v1/tracks/6q6B3S0NzajdyzSj3XLXxb,https://api.spotify.com/v1/audio-analysis/6q6B3S0NzajdyzSj3XLXxb,110380,4
0.759,0.416,1,-13.699,1,0.536,0.206,0.0,0.236,0.809,143.286,audio_features,72NIQgcnkJDMf3Q4xk3Bbd,spotify:track:72NIQgcnkJDMf3Q4xk3Bbd,https://api.spotify.com/v1/tracks/72NIQgcnkJDMf3Q4xk3Bbd,https://api.spotify.com/v1/audio-analysis/72NIQgcnkJDMf3Q4xk3Bbd,181316,4
0.861,0.46,11,-10.105,1,0.362,0.193,0.0,0.229,0.74,143.008,audio_features,1aWrjGga6Ws67b2CWWTb4u,spotify:track:1aWrjGga6Ws67b2CWWTb4u,https://api.spotify.com/v1/tracks/1aWrjGga6Ws67b2CWWTb4u,https://api.spotify.com/v1/audio-analysis/1aWrjGga6Ws67b2CWWTb4u,164566,4
0.832,0.44,10,-10.509,0,0.449,0.283,0.0,0.115,0.43,140.053,audio_features,23HMleKc0xFqerlk6qT2FX,spotify:track:23HMleKc0xFqerlk6qT2FX,https://api.spotify.com/v1/tracks/23HMleKc0xFqerlk6qT2FX,https://api.spotify.com/v1/audio-analysis/23HMleKc0xFqerlk6qT2FX,165674,4
0.764,0.603,1,-9.434,0,0.354,0.361,0.0,0.122,0.6,143.091,audio_features,0UPZYZghuk0ShJKrEiZ5jv,spotify:track:0UPZYZghuk0ShJKrEiZ5jv,https://api.spotify.com/v1/tracks/0UPZYZghuk0ShJKrEiZ5jv,https://api.spotify.com/v1/audio-analysis/0UPZYZghuk0ShJKrEiZ5jv,231666,4
0.662,0.903,11,-6.196,0,0.272,0.521,0.0,0.35,0.743,144.132,audio_features,1YTKdKM3X8G1XjUStxchPP,spotify:track:1YTKdKM3X8G1XjUStxchPP,https://api.spotify.com/v1/tracks/1YTKdKM3X8G1XjUStxchPP,https://api.spotify.com/v1/audio-analysis/1YTKdKM3X8G1XjUStxchPP,160000,4
0.876,0.572,11,-9.352,1,0.386,0.166,0.0,0.253,0.755,144.083,audio_features,7klOM09FDvQb3oQtIZNFPl,spotify:track:7klOM09FDvQb3oQtIZNFPl,https://api.spotify.com/v1/tracks/7klOM09FDvQb3oQtIZNFPl,https://api.spotify.com/v1/audio-analysis/7klOM09FDvQb3oQtIZNFPl,165833,4
0.805,0.825,6,-6.123,0,0.311,0.329,0.0,0.0913,0.424,143.102,audio_features,7kWXW1tYyE2cOR11TPkKT7,spotify:track:7kWXW1tYyE2cOR11TPkKT7,https://api.spotify.com/v1/tracks/7kWXW1tYyE2cOR11TPkKT7,https://api.spotify.com/v1/audio-analysis/7kWXW1tYyE2cOR11TPkKT7,183791,4
0.865,0.582,1,-10.103,1,0.286,0.0298,0.579,0.117,0.286,140.038,audio_features,6PyDmJQd9gT9vBOc5aPAXw,spotify:track:6PyDmJQd9gT9vBOc5aPAXw,https://api.spotify.com/v1/tracks/6PyDmJQd9gT9vBOc5aPAXw,https://api.spotify.com/v1/audio-analysis/6PyDmJQd9gT9vBOc5aPAXw,161143,4
0.799,0.544,2,-9.732,1,0.0946,0.11,0.237,0.109,0.462,140.056,audio_features,5cPSyoMxvb3seOHoWPB06F,spotify:track:5cPSyoMxvb3seOHoWPB06F,https://api.spotify.com/v1/tracks/5cPSyoMxvb3seOHoWPB06F,https://api.spotify.com/v1/audio-analysis/5cPSyoMxvb3seOHoWPB06F,130286,4
0.764,0.582,1,-9.133,0,0.182,0.0606,0.542,0.172,0.543,157.205,audio_features,5fs2Gx1eIv8UeG9khJ0wSo,spotify:track:5fs2Gx1eIv8UeG9khJ0wSo,https://api.spotify.com/v1/tracks/5fs2Gx1eIv8UeG9khJ0wSo,https://api.spotify.com/v1/audio-analysis/5fs2Gx1eIv8UeG9khJ0wSo,116071,4
0.723,0.719,10,-8.498,0,0.436,0.442,1.43e-06,0.12,0.402,170.085,audio_features,0srLEnYW3RUBAPoOcHm3lc,spotify:track:0srLEnYW3RUBAPoOcHm3lc,https://api.spotify.com/v1/tracks/0srLEnYW3RUBAPoOcHm3lc,https://api.spotify.com/v1/audio-analysis/0srLEnYW3RUBAPoOcHm3lc,126693,4
0.917,0.702,2,-11.178,1,0.424,0.421,6.12e-05,0.0575,0.744,140.072,audio_features,2fcecaIcGcBuX0UOuDD8H1,spotify:track:2fcecaIcGcBuX0UOuDD8H1,https://api.spotify.com/v1/tracks/2fcecaIcGcBuX0UOuDD8H1,https://api.spotify.com/v1/audio-analysis/2fcecaIcGcBuX0UOuDD8H1,164571,4
0.73,0.622,8,-8.188,0,0.338,0.324,0.0,0.384,0.705,141.983,audio_features,6afrGc4NBIQEObX1S8DCPy,spotify:track:6afrGc4NBIQEObX1S8DCPy,https://api.spotify.com/v1/tracks/6afrGc4NBIQEObX1S8DCPy,https://api.spotify.com/v1/audio-analysis/6afrGc4NBIQEObX1S8DCPy,147301,4
0.782,0.732,1,-8.885,1,0.333,0.413,0.0,0.104,0.773,144.94,audio_features,0EZ05DO2sinxXkujtxUUZF,spotify:track:0EZ05DO2sinxXkujtxUUZF,https://api.spotify.com/v1/tracks/0EZ05DO2sinxXkujtxUUZF,https://api.spotify.com/v1/audio-analysis/0EZ05DO2sinxXkujtxUUZF,205655,4
0.912,0.651,11,-8.702,0,0.337,0.0824,2.9e-06,0.101,0.505,142.947,audio_features,2GPh676erhgaOyMRmQNOc6,spotify:track:2GPh676erhgaOyMRmQNOc6,https://api.spotify.com/v1/tracks/2GPh676erhgaOyMRmQNOc6,https://api.spotify.com/v1/audio-analysis/2GPh676erhgaOyMRmQNOc6,214820,4
0.834,0.631,2,-7.792,1,0.395,0.264,0.0,0.292,0.625,140.961,audio_features,4V5er0Fzkjh4AZEFXoSTIr,spotify:track:4V5er0Fzkjh4AZEFXoSTIr,https://api.spotify.com/v1/tracks/4V5er0Fzkjh4AZEFXoSTIr,https://api.spotify.com/v1/audio-analysis/4V5er0Fzkjh4AZEFXoSTIr,136170,4
