danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.698,0.633,8,-6.68,0,0.0406,0.0508,0.272,0.264,0.55,94.085,audio_features,6vTtCOimcPs5H1Jr9d0Aep,spotify:track:6vTtCOimcPs5H1Jr9d0Aep,https://api.spotify.com/v1/tracks/6vTtCOimcPs5H1Jr9d0Aep,https://api.spotify.com/v1/audio-analysis/6vTtCOimcPs5H1Jr9d0Aep,252267,4
0.443,0.865,4,-4.547,1,0.0391,0.00724,0.000116,0.468,0.474,110.008,audio_features,4Ai0ANRDYwx6mCD4Uty1WS,spotify:track:4Ai0ANRDYwx6mCD4Uty1WS,https://api.spotify.com/v1/tracks/4Ai0ANRDYwx6mCD4Uty1WS,https://api.spotify.com/v1/audio-analysis/4Ai0ANRDYwx6mCD4Uty1WS,203880,4
0.271,0.714,7,-5.124,1,0.0329,0.392,0.0,0.115,0.239,94.158,audio_features,5rfT032kGmLvbxZzfHlu5D,spotify:track:5rfT032kGmLvbxZzfHlu5D,https://api.spotify.com/v1/tracks/5rfT032kGmLvbxZzfHlu5D,https://api.spotify.com/v1/audio-analysis/5rfT032kGmLvbxZzfHlu5D,202347,3
0.434,0.531,1,-9.553,1,0.0425,0.781,0.0134,0.135,0.641,131.199,audio_features,1WBSFlSLyOZnSa8fj7a5yC,spotify:track:1WBSFlSLyOZnSa8fj7a5yC,https://api.spotify.com/v1/tracks/1WBSFlSLyOZnSa8fj7a5yC,https://api.spotify.com/v1/audio-analysis/1WBSFlSLyOZnSa8fj7a5yC,230200,4
0.404,0.0182,2,-20.969,1,0.0414,0.964,0.00037,0.108,0.114,109.107,audio_features,2QFyOnJfJ49OnNgMvKXvTM,spotify:track:2QFyOnJfJ49OnNgMvKXvTM,https://api.spotify.com/v1/tracks/2QFyOnJfJ49OnNgMvKXvTM,https://api.spotify.com/v1/audio-analysis/2QFyOnJfJ49OnNgMvKXvTM,218452,4
0.521,0.0889,4,-19.457,1,0.0506,0.988,0.185,0.0965,0.0478,115.428,audio_features,7nDXmx3FuyeX7FI7PFl2iX,spotify:track:7nDXmx3FuyeX7FI7PFl2iX,https://api.spotify.com/v1/tracks/7nDXmx3FuyeX7FI7PFl2iX,https://api.spotify.com/v1/audio-analysis/7nDXmx3FuyeX7FI7PFl2iX,313253,4
0.63,0.423,2,-7.705,1,0.0318,0.507,2.24e-06,0.219,0.319,90.019,audio_features,0z29wv0x2IXrpWxNgICET7,spotify:track:0z29wv0x2IXrpWxNgICET7,https://api.spotify.com/v1/tracks/0z29wv0x2IXrpWxNgICET7,https://api.spotify.com/v1/audio-analysis/0z29wv0x2IXrpWxNgICET7,212713,4
0.397,0.0666,7,-20.405,1,0.0383,0.963,0.158,0.107,0.0389,137.313,audio_features,1ZVbf755wkzFApNhrGNek3,spotify:track:1ZVbf755wkzFApNhrGNek3,https://api.spotify.com/v1/tracks/1ZVbf755wkzFApNhrGNek3,https://api.spotify.com/v1/audio-analysis/1ZVbf755wkzFApNhrGNek3,174172,4
0.616,0.0663,8,-12.73,0,0.0387,0.985,0.00408,0.101,0.18,148.041,audio_features,6125RUljDZ9MKwAICmzttp,spotify:track:6125RUljDZ9MKwAICmzttp,https://api.spotify.com/v1/tracks/6125RUljDZ9MKwAICmzttp,https://api.spotify.com/v1/audio-analysis/6125RUljDZ9MKwAICmzttp,191351,4
0.775,0.281,10,-10.216,0,0.096,0.549,0.242,0.0941,0.0398,139.949,audio_features,33BnSMHgX0AsbKSIbkuMwh,spotify:track:33BnSMHgX0AsbKSIbkuMwh,https://api.spotify.com/v1/tracks/33BnSMHgX0AsbKSIbkuMwh,https://api.spotify.com/v1/audio-analysis/33BnSMHgX0AsbKSIbkuMwh,276720,4
