danceability,energy,loudness,tempo,valence,acousticness,cluster,id
0.625,0.942,-5.739,150.001,0.459,0.193,10,7zyvQ8sb72g4RuwBpcuGUP
0.706,0.975,-5.58,154.993,0.319,0.0505,10,7F7N0yugLFgKXoEACgtzD8
0.551,0.944,-3.92,149.955,0.766,0.00317,10,1M2NNUv8UV5smjMVGyTrmz
0.551,0.883,-6.334,169.987,0.606,0.00841,10,0djjZQPlvpOPNgnWTMVvli
0.559,0.965,-5.022,74.946,0.232,0.00519,9,21deaXqPzYtLunigUjpZuB
0.482,0.915,-3.741,160.03,0.283,0.0008,15,4rTA5hrkv233BWoASSKt3T
0.582,0.942,-8.689,134.917,0.411,0.0186,10,0iFxSf5RjiybnVSjofFEBg
0.51,0.691,-5.199,129.836,0.376,0.0304,3,5hT3U17QZiP74YN9xF32JG
0.697,0.954,-1.955,122.062,0.541,0.157,14,4r9kj0CqH7RCp6Oxx56SvN
0.436,0.989,-2.432,132.036,0.537,0.091,10,42jqtDBoV2YGTRbFI02p6H
0.554,0.968,-4.178,74.465,0.415,0.0326,9,17NHXI2CJp7KgdcwcDnRx4
0.602,0.766,-3.942,87.042,0.444,0.000113,0,2N8gR2yftrHbZR53U5kYnX
0.677,0.912,-7.079,144.006,0.192,0.00423,3,51w0BMC24JALh8uzwRzjMB
0.649,0.901,-2.532,127.986,0.26,0.0183,9,6f08saOLZyQr0ulFKUzFeL
0.67,0.735,-6.424,169.914,0.649,0.212,10,3Ipu6e4dwxdt8lmSI27ZFx
0.634,0.824,-3.394,137.959,0.371,0.0908,10,31nfdEooLEq7dn3UMcIeB5
0.735,0.681,-6.421,143.054,0.302,0.0512,2,7v9PgkhtIlivxuFXO1Dl1V
0.831,0.823,-4.524,144.905,0.725,0.0433,4,5Idil10mcvgdD2CHbRR2sF
0.629,0.957,-4.353,130.077,0.478,0.0441,14,65Iiyhh7rD0vq0bmCPz2YK
0.53,0.885,-5.019,159.913,0.326,0.0189,10,4WxXlPyF3VcfdkucISvrh0
0.596,0.667,-5.651,140.002,0.217,0.0524,3,0OvO2X2Q3i98dc5RcgEN3x
0.737,0.796,-6.04,126.023,0.227,0.00716,3,2OiDl6bWeHjHBXC97Uzuby
0.638,0.717,-5.804,141.904,0.422,0.001,3,59NraMJsLaMCVtwXTSia8i
0.625,0.972,-5.382,159.989,0.282,0.00679,10,7F7G8FuCtggmPvs51E9fmN
0.551,0.968,-5.673,129.004,0.213,0.000701,3,4J4Fk7x2y8jQBxm332n0oY
0.816,0.934,-4.042,132.02,0.527,0.00228,14,5I8YyKG5iIdOiuTFnX9YVC
0.602,0.823,-5.392,126.034,0.518,0.0119,14,09rcsC6M15EZPbCVmrqUYK
0.617,0.883,-6.312,140.012,0.102,0.00108,3,6eoY6XnhGFr3HInyECJdbx
0.464,0.867,-7.38,75.026,0.281,0.00907,0,1lzIk2EDN5d1gIbxfmu2oF
0.581,0.64,-8.133,149.91,0.317,0.0608,3,3NO0uDaqtPzSSU9GAj39hC
0.591,0.921,-5.572,140.063,0.436,0.00261,10,3aNxfCcd9EohIxKmcQv1zn
0.682,0.973,-5.123,149.997,0.352,0.0828,10,6pPJAAEMeczRyC74w6ltBS
0.69,0.84,-6.947,129.935,0.493,0.0268,14,2grS8y9w2vVp7sDJ3RnSx9
0.668,0.947,-3.346,136.044,0.449,0.0656,14,2fP9aII1LkmZZmzdAiuNVz
0.454,0.881,-3.61,165.127,0.492,0.0267,10,63yVtv3jDnjMa89SD7uYj2
0.567,0.699,-5.817,132.001,0.296,0.262,3,6d0T2bz3qCRTtG126QFkp3
0.465,0.7,-5.163,120.854,0.276,0.203,3,5Se32hEA9raeboZerywxka
0.943,0.558,-4.911,104.983,0.606,0.0026,19,4xhsWYTOGcal8zt0J161CU
0.746,0.549,-7.459,164.928,0.491,0.00412,2,5gzEL5O1ubbtIHUhLkSMTz
0.738,0.776,-4.884,175.912,0.456,0.0202,10,5FDc4ljIWyW8wClzt54dhs
0.47,0.64,-7.779,163.92,0.248,0.0277,3,7aqfrAY2p9BUSiupwk3svU
0.731,0.667,-7.928,123.042,0.485,0.134,2,1xWkeSPhf3bZqHY7Ncz8vp
0.773,0.635,-5.06,121.879,0.476,0.0585,2,2Gk6fi0dqt91NKvlzGsmm7
